t,accuracy,recall,precision,false_positive_rate,f1_score
20,0.375,1.0,0.375,1.0,0.5454545454545454
21,0.375,1.0,0.375,1.0,0.5454545454545454
22,0.375,1.0,0.375,1.0,0.5454545454545454
23,0.375,1.0,0.375,1.0,0.5454545454545454
24,0.375,1.0,0.375,1.0,0.5454545454545454
25,0.375,1.0,0.375,1.0,0.5454545454545454
26,0.5,1.0,0.42857142857142855,0.8,0.6
27,0.5,1.0,0.42857142857142855,0.8,0.6
28,0.5,1.0,0.42857142857142855,0.8,0.6
29,0.5,1.0,0.42857142857142855,0.8,0.6
30,0.5,1.0,0.42857142857142855,0.8,0.6
31,0.5,1.0,0.42857142857142855,0.8,0.6
32,0.5,1.0,0.42857142857142855,0.8,0.6
33,0.625,1.0,0.5,0.6,0.6666666666666666
34,0.625,1.0,0.5,0.6,0.6666666666666666
35,0.75,1.0,0.6,0.4,0.7499999999999999
36,0.875,1.0,0.75,0.2,0.8571428571428571
37,0.875,1.0,0.75,0.2,0.8571428571428571
38,0.875,1.0,0.75,0.2,0.8571428571428571
39,0.875,1.0,0.75,0.2,0.8571428571428571
40,0.875,1.0,0.75,0.2,0.8571428571428571
41,1.0,1.0,1.0,0.0,1.0
42,1.0,1.0,1.0,0.0,1.0
43,1.0,1.0,1.0,0.0,1.0
44,1.0,1.0,1.0,0.0,1.0
45,1.0,1.0,1.0,0.0,1.0
46,1.0,1.0,1.0,0.0,1.0
47,1.0,1.0,1.0,0.0,1.0
48,1.0,1.0,1.0,0.0,1.0
49,1.0,1.0,1.0,0.0,1.0
50,1.0,1.0,1.0,0.0,1.0
51,1.0,1.0,1.0,0.0,1.0
52,1.0,1.0,1.0,0.0,1.0
53,1.0,1.0,1.0,0.0,1.0
54,1.0,1.0,1.0,0.0,1.0
55,1.0,1.0,1.0,0.0,1.0
56,1.0,1.0,1.0,0.0,1.0
57,1.0,1.0,1.0,0.0,1.0
58,1.0,1.0,1.0,0.0,1.0
59,1.0,1.0,1.0,0.0,1.0
60,1.0,1.0,1.0,0.0,1.0
61,1.0,1.0,1.0,0.0,1.0
62,1.0,1.0,1.0,0.0,1.0
63,1.0,1.0,1.0,0.0,1.0
64,1.0,1.0,1.0,0.0,1.0
65,1.0,1.0,1.0,0.0,1.0
66,1.0,1.0,1.0,0.0,1.0
67,1.0,1.0,1.0,0.0,1.0
68,1.0,1.0,1.0,0.0,1.0
69,1.0,1.0,1.0,0.0,1.0
70,1.0,1.0,1.0,0.0,1.0
71,1.0,1.0,1.0,0.0,1.0
72,1.0,1.0,1.0,0.0,1.0
73,1.0,1.0,1.0,0.0,1.0
74,1.0,1.0,1.0,0.0,1.0
75,1.0,1.0,1.0,0.0,1.0
76,1.0,1.0,1.0,0.0,1.0
77,1.0,1.0,1.0,0.0,1.0
78,1.0,1.0,1.0,0.0,1.0
79,1.0,1.0,1.0,0.0,1.0
80,1.0,1.0,1.0,0.0,1.0
81,1.0,1.0,1.0,0.0,1.0
82,1.0,1.0,1.0,0.0,1.0
83,1.0,1.0,1.0,0.0,1.0
84,1.0,1.0,1.0,0.0,1.0
85,1.0,1.0,1.0,0.0,1.0
86,1.0,1.0,1.0,0.0,1.0
87,1.0,1.0,1.0,0.0,1.0
88,1.0,1.0,1.0,0.0,1.0
89,1.0,1.0,1.0,0.0,1.0
90,1.0,1.0,1.0,0.0,1.0
91,1.0,1.0,1.0,0.0,1.0
92,1.0,1.0,1.0,0.0,1.0
93,1.0,1.0,1.0,0.0,1.0
94,1.0,1.0,1.0,0.0,1.0
95,0.875,0.6666666666666666,1.0,0.0,0.8
96,0.75,0.3333333333333333,1.0,0.0,0.5
97,0.75,0.3333333333333333,1.0,0.0,0.5
98,0.75,0.3333333333333333,1.0,0.0,0.5
99,0.75,0.3333333333333333,1.0,0.0,0.5
100,0.75,0.3333333333333333,1.0,0.0,0.5
