packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
1,5.443045,1782457667.1297715,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57258,8080,SYN,2,2911649313,0,64240,True,False,False,False,False
2,5.443108,1782457667.129835,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57258,"SYN,ACK",18,705297948,2911649314,65160,False,True,False,False,False
3,5.443173,1782457667.1299,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57258,8080,ACK,16,2911649314,705297949,502,False,False,True,False,False
4,5.443399,1782457667.1301258,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57258,8080,"ACK,RST",20,2911649314,705297949,502,False,False,False,False,True
5,5.468036,1782457667.1547625,02:00:00:00:00:01,203.0.113.225,172.28.5.3,TCP,54,59046,8080,SYN,2,224809717,0,8192,True,False,False,False,False
6,5.472563,1782457667.1592898,02:00:00:00:00:01,203.0.113.153,172.28.5.3,TCP,54,51233,8080,SYN,2,42374285,0,8192,True,False,False,False,False
7,5.492797,1782457667.179524,02:00:00:00:00:01,203.0.113.17,172.28.5.3,TCP,54,50628,8080,SYN,2,10918439,0,8192,True,False,False,False,False
8,5.50903,1782457667.1957564,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,59050,8080,SYN,2,1330445774,0,8192,True,False,False,False,False
9,5.509123,1782457667.19585,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,59050,"SYN,ACK",18,334414984,1330445775,64240,False,True,False,False,False
10,5.509174,1782457667.1959002,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,59050,8080,RST,4,1330445775,0,0,False,False,False,False,True
11,5.514364,1782457667.2010906,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,59689,8080,SYN,2,1024845538,0,8192,True,False,False,False,False
12,5.514466,1782457667.2011929,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,59689,"SYN,ACK",18,1767195773,1024845539,64240,False,True,False,False,False
13,5.514531,1782457667.2012575,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,59689,8080,RST,4,1024845539,0,0,False,False,False,False,True
14,5.518264,1782457667.2049901,02:00:00:00:00:01,203.0.113.26,172.28.5.3,TCP,54,52259,8080,SYN,2,2231721537,0,8192,True,False,False,False,False
15,5.519484,1782457667.2062104,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,63486,8080,SYN,2,759214854,0,8192,True,False,False,False,False
16,5.519602,1782457667.2063289,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,63486,"SYN,ACK",18,1125614869,759214855,64240,False,True,False,False,False
17,5.519678,1782457667.206405,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,63486,8080,RST,4,759214855,0,0,False,False,False,False,True
18,5.540431,1782457667.2271574,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64321,8080,SYN,2,3038087558,0,8192,True,False,False,False,False
19,5.540529,1782457667.227256,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,64321,"SYN,ACK",18,2917550596,3038087559,64240,False,True,False,False,False
20,5.54062,1782457667.2273464,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64321,8080,RST,4,3038087559,0,0,False,False,False,False,True
21,5.542263,1782457667.2289891,02:00:00:00:00:01,198.51.100.64,172.28.5.3,TCP,54,49833,8080,SYN,2,3165525150,0,8192,True,False,False,False,False
22,5.567886,1782457667.2546122,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57264,8080,SYN,2,1863549695,0,64240,True,False,False,False,False
23,5.567976,1782457667.2547026,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57264,"SYN,ACK",18,1684583031,1863549696,65160,False,True,False,False,False
24,5.568109,1782457667.2548358,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57264,8080,ACK,16,1863549696,1684583032,502,False,False,True,False,False
25,5.568531,1782457667.2552576,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57264,8080,"ACK,RST",20,1863549696,1684583032,502,False,False,False,False,True
26,5.569293,1782457667.25602,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,50976,8080,SYN,2,965539810,0,8192,True,False,False,False,False
27,5.569408,1782457667.256135,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,50976,"SYN,ACK",18,2491347259,965539811,64240,False,True,False,False,False
28,5.569498,1782457667.2562249,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,50976,8080,RST,4,965539811,0,0,False,False,False,False,True
29,5.570072,1782457667.2567987,02:00:00:00:00:01,198.51.100.169,172.28.5.3,TCP,54,49750,8080,SYN,2,1465111831,0,8192,True,False,False,False,False
30,5.590342,1782457667.2770681,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,62814,8080,SYN,2,40817833,0,8192,True,False,False,False,False
31,5.590426,1782457667.2771523,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,62814,"SYN,ACK",18,3556298186,40817834,64240,False,True,False,False,False
32,5.590476,1782457667.2772028,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,62814,8080,RST,4,40817834,0,0,False,False,False,False,True
33,5.591481,1782457667.2782078,02:00:00:00:00:01,192.0.2.135,172.28.5.3,TCP,54,53115,8080,SYN,2,3676199285,0,8192,True,False,False,False,False
34,5.617878,1782457667.3046043,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64428,8080,SYN,2,924400037,0,8192,True,False,False,False,False
35,5.617992,1782457667.3047187,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,64428,"SYN,ACK",18,514300245,924400038,64240,False,True,False,False,False
36,5.618074,1782457667.3048003,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64428,8080,RST,4,924400038,0,0,False,False,False,False,True
37,5.619172,1782457667.3058982,02:00:00:00:00:01,198.51.100.212,172.28.5.3,TCP,54,57839,8080,SYN,2,2581226110,0,8192,True,False,False,False,False
38,5.641376,1782457667.328102,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,54157,8080,SYN,2,214963787,0,8192,True,False,False,False,False
39,5.641481,1782457667.3282075,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,54157,"SYN,ACK",18,721852933,214963788,64240,False,True,False,False,False
40,5.641555,1782457667.3282816,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,54157,8080,RST,4,214963788,0,0,False,False,False,False,True
41,5.642856,1782457667.3295822,02:00:00:00:00:01,198.51.100.84,172.28.5.3,TCP,54,56746,8080,SYN,2,2400181186,0,8192,True,False,False,False,False
42,5.667135,1782457667.3538616,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,55852,8080,SYN,2,363363137,0,8192,True,False,False,False,False
43,5.667258,1782457667.3539844,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,55852,"SYN,ACK",18,3947243183,363363138,64240,False,True,False,False,False
44,5.667355,1782457667.3540816,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,55852,8080,RST,4,363363138,0,0,False,False,False,False,True
45,5.669194,1782457667.355921,02:00:00:00:00:01,203.0.113.214,172.28.5.3,TCP,54,54798,8080,SYN,2,3273517795,0,8192,True,False,False,False,False
46,5.69273,1782457667.3794563,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57270,8080,SYN,2,1552721958,0,64240,True,False,False,False,False
47,5.692812,1782457667.379539,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57270,"SYN,ACK",18,510754884,1552721959,65160,False,True,False,False,False
48,5.692937,1782457667.379664,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57270,8080,ACK,16,1552721959,510754885,502,False,False,True,False,False
49,5.692975,1782457667.3797019,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,58399,8080,SYN,2,3657716149,0,8192,True,False,False,False,False
50,5.693032,1782457667.3797584,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,58399,"SYN,ACK",18,3258911037,3657716150,64240,False,True,False,False,False
51,5.693113,1782457667.37984,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,58399,8080,RST,4,3657716150,0,0,False,False,False,False,True
52,5.694029,1782457667.3807557,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57270,8080,"ACK,RST",20,1552721959,510754885,502,False,False,False,False,True
53,5.694197,1782457667.3809237,02:00:00:00:00:01,203.0.113.151,172.28.5.3,TCP,54,54407,8080,SYN,2,1694318298,0,8192,True,False,False,False,False
54,5.715833,1782457667.4025595,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,60193,8080,SYN,2,1310287604,0,8192,True,False,False,False,False
55,5.715928,1782457667.4026546,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,60193,"SYN,ACK",18,2692862340,1310287605,64240,False,True,False,False,False
56,5.715995,1782457667.4027216,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,60193,8080,RST,4,1310287605,0,0,False,False,False,False,True
57,5.717036,1782457667.4037626,02:00:00:00:00:01,203.0.113.64,172.28.5.3,TCP,54,60078,8080,SYN,2,1509280472,0,8192,True,False,False,False,False
58,5.74283,1782457667.4295568,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,57108,8080,SYN,2,2464329381,0,8192,True,False,False,False,False
59,5.742968,1782457667.4296947,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,57108,"SYN,ACK",18,1933697555,2464329382,64240,False,True,False,False,False
60,5.743063,1782457667.4297895,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,57108,8080,RST,4,2464329382,0,0,False,False,False,False,True
61,5.74434,1782457667.4310663,02:00:00:00:00:01,198.51.100.147,172.28.5.3,TCP,54,59299,8080,SYN,2,1125059544,0,8192,True,False,False,False,False
62,5.766839,1782457667.4535656,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,50000,8080,SYN,2,2835349251,0,8192,True,False,False,False,False
63,5.766955,1782457667.4536817,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,50000,"SYN,ACK",18,3866979494,2835349252,64240,False,True,False,False,False
64,5.767047,1782457667.4537735,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,50000,8080,RST,4,2835349252,0,0,False,False,False,False,True
65,5.76844,1782457667.4551668,02:00:00:00:00:01,198.51.100.220,172.28.5.3,TCP,54,57011,8080,SYN,2,324963020,0,8192,True,False,False,False,False
66,5.791761,1782457667.478488,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,53041,8080,SYN,2,4083134060,0,8192,True,False,False,False,False
67,5.791871,1782457667.4785979,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,53041,"SYN,ACK",18,3144225540,4083134061,64240,False,True,False,False,False
68,5.791948,1782457667.4786744,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,53041,8080,RST,4,4083134061,0,0,False,False,False,False,True
69,5.794747,1782457667.4814734,02:00:00:00:00:01,203.0.113.42,172.28.5.3,TCP,54,57597,8080,SYN,2,1992419666,0,8192,True,False,False,False,False
70,5.817695,1782457667.5044217,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57280,8080,SYN,2,1858728518,0,64240,True,False,False,False,False
71,5.817704,1782457667.5044308,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,60143,8080,SYN,2,3332465438,0,8192,True,False,False,False,False
72,5.817775,1782457667.504501,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57280,"SYN,ACK",18,4090335557,1858728519,65160,False,True,False,False,False
73,5.817775,1782457667.5045013,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,60143,"SYN,ACK",18,753861733,3332465439,64240,False,True,False,False,False
74,5.817858,1782457667.5045843,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,60143,8080,RST,4,3332465439,0,0,False,False,False,False,True
75,5.817886,1782457667.504613,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57280,8080,ACK,16,1858728519,4090335558,502,False,False,True,False,False
76,5.81838,1782457667.5051064,02:00:00:00:00:01,192.0.2.99,172.28.5.3,TCP,54,54353,8080,SYN,2,1901018625,0,8192,True,False,False,False,False
77,5.818994,1782457667.5057204,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,66,8080,57280,"ACK,FIN",17,4090335558,1858728519,510,False,False,False,True,False
78,5.819,1782457667.5057266,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57280,8080,"ACK,RST",20,1858728519,4090335558,502,False,False,False,False,True
79,5.819082,1782457667.5058084,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,54,57280,8080,RST,4,1858728519,0,0,False,False,False,False,True
80,5.840894,1782457667.5276203,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,59194,8080,SYN,2,4260230892,0,8192,True,False,False,False,False
81,5.840983,1782457667.52771,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,59194,"SYN,ACK",18,126585741,4260230893,64240,False,True,False,False,False
82,5.841047,1782457667.5277731,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,59194,8080,RST,4,4260230893,0,0,False,False,False,False,True
83,5.841838,1782457667.5285642,02:00:00:00:00:01,198.51.100.110,172.28.5.3,TCP,54,64860,8080,SYN,2,2683778607,0,8192,True,False,False,False,False
84,5.868159,1782457667.5548854,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,58061,8080,SYN,2,2180557528,0,8192,True,False,False,False,False
85,5.868287,1782457667.5550134,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,58061,"SYN,ACK",18,1920257061,2180557529,64240,False,True,False,False,False
86,5.868393,1782457667.5551198,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,58061,8080,RST,4,2180557529,0,0,False,False,False,False,True
87,5.869902,1782457667.5566285,02:00:00:00:00:01,198.51.100.86,172.28.5.3,TCP,54,61604,8080,SYN,2,1260999094,0,8192,True,False,False,False,False
88,5.891556,1782457667.5782828,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64565,8080,SYN,2,3862163334,0,8192,True,False,False,False,False
89,5.891689,1782457667.5784154,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,64565,"SYN,ACK",18,2796946712,3862163335,64240,False,True,False,False,False
90,5.891765,1782457667.5784917,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64565,8080,RST,4,3862163335,0,0,False,False,False,False,True
91,5.892866,1782457667.5795925,02:00:00:00:00:01,198.51.100.196,172.28.5.3,TCP,54,64154,8080,SYN,2,2387559883,0,8192,True,False,False,False,False
92,5.917355,1782457667.6040814,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,56656,8080,SYN,2,1420104964,0,8192,True,False,False,False,False
93,5.917499,1782457667.6042254,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,56656,"SYN,ACK",18,2683492616,1420104965,64240,False,True,False,False,False
94,5.917637,1782457667.6043634,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,56656,8080,RST,4,1420104965,0,0,False,False,False,False,True
95,5.919153,1782457667.6058795,02:00:00:00:00:01,192.0.2.75,172.28.5.3,TCP,54,53232,8080,SYN,2,2219377552,0,8192,True,False,False,False,False
96,5.942027,1782457667.628754,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,55225,8080,SYN,2,350703959,0,8192,True,False,False,False,False
97,5.942156,1782457667.6288822,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,55225,"SYN,ACK",18,1732624053,350703960,64240,False,True,False,False,False
98,5.942246,1782457667.628973,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,55225,8080,RST,4,350703960,0,0,False,False,False,False,True
99,5.942873,1782457667.6296,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57282,8080,SYN,2,3526424280,0,64240,True,False,False,False,False
100,5.942941,1782457667.6296675,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57282,"SYN,ACK",18,525882102,3526424281,65160,False,True,False,False,False
101,5.94306,1782457667.6297867,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57282,8080,ACK,16,3526424281,525882103,502,False,False,True,False,False
102,5.943431,1782457667.630158,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57282,8080,"ACK,RST",20,3526424281,525882103,502,False,False,False,False,True
103,5.944206,1782457667.6309328,02:00:00:00:00:01,192.0.2.60,172.28.5.3,TCP,54,51653,8080,SYN,2,3686122907,0,8192,True,False,False,False,False
104,5.965993,1782457667.65272,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,49480,8080,SYN,2,2856396283,0,8192,True,False,False,False,False
105,5.966088,1782457667.6528144,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,49480,"SYN,ACK",18,3655686906,2856396284,64240,False,True,False,False,False
106,5.966144,1782457667.6528702,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,49480,8080,RST,4,2856396284,0,0,False,False,False,False,True
107,5.967046,1782457667.6537726,02:00:00:00:00:01,198.51.100.244,172.28.5.3,TCP,54,53055,8080,SYN,2,497585482,0,8192,True,False,False,False,False
108,5.992684,1782457667.6794107,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,63985,8080,SYN,2,967614801,0,8192,True,False,False,False,False
109,5.992809,1782457667.6795352,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,63985,"SYN,ACK",18,1481054026,967614802,64240,False,True,False,False,False
110,5.992893,1782457667.67962,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,63985,8080,RST,4,967614802,0,0,False,False,False,False,True
111,5.994385,1782457667.6811118,02:00:00:00:00:01,203.0.113.94,172.28.5.3,TCP,54,57033,8080,SYN,2,3685700128,0,8192,True,False,False,False,False
112,6.017151,1782457667.7038774,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,51344,8080,SYN,2,2114817612,0,8192,True,False,False,False,False
113,6.017281,1782457667.7040071,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,51344,"SYN,ACK",18,2203066588,2114817613,64240,False,True,False,False,False
114,6.017367,1782457667.704094,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,51344,8080,RST,4,2114817613,0,0,False,False,False,False,True
115,6.019063,1782457667.7057896,02:00:00:00:00:01,198.51.100.117,172.28.5.3,TCP,54,58908,8080,SYN,2,3849453738,0,8192,True,False,False,False,False
116,6.041451,1782457667.728177,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,61508,8080,SYN,2,424756667,0,8192,True,False,False,False,False
117,6.041559,1782457667.728286,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,61508,"SYN,ACK",18,2286033815,424756668,64240,False,True,False,False,False
118,6.041656,1782457667.7283828,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,61508,8080,RST,4,424756668,0,0,False,False,False,False,True
119,6.04304,1782457667.7297668,02:00:00:00:00:01,198.51.100.170,172.28.5.3,TCP,54,56615,8080,SYN,2,4265962334,0,8192,True,False,False,False,False
120,6.067208,1782457667.7539349,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,50204,8080,SYN,2,1544331755,0,8192,True,False,False,False,False
121,6.067342,1782457667.7540684,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,50204,"SYN,ACK",18,704313534,1544331756,64240,False,True,False,False,False
