packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
1,5.454365,1782457383.8218324,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,47796,8080,SYN,2,3730892913,0,64240,True,False,False,False,False
2,5.45442,1782457383.821887,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,47796,"SYN,ACK",18,3704424280,3730892914,65160,False,True,False,False,False
3,5.454483,1782457383.8219502,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,47796,8080,ACK,16,3730892914,3704424281,502,False,False,True,False,False
4,5.45471,1782457383.8221772,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,47796,8080,"ACK,RST",20,3730892914,3704424281,502,False,False,False,False,True
5,5.457428,1782457383.824895,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36268,8080,SYN,2,736179620,0,64240,True,False,False,False,False
6,5.457477,1782457383.8249445,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36268,"SYN,ACK",18,2757217359,736179621,65160,False,True,False,False,False
7,5.457539,1782457383.8250065,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36268,8080,ACK,16,736179621,2757217360,502,False,False,True,False,False
8,5.457752,1782457383.8252196,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36268,8080,"ACK,RST",20,736179621,2757217360,502,False,False,False,False,True
9,5.473821,1782457383.8412883,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,49564,8080,SYN,2,1828122797,0,64240,True,False,False,False,False
10,5.473901,1782457383.841368,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,49564,"SYN,ACK",18,2567226111,1828122798,65160,False,True,False,False,False
11,5.473984,1782457383.8414514,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49564,8080,ACK,16,1828122798,2567226112,502,False,False,True,False,False
12,5.474235,1782457383.841702,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49564,8080,"ACK,RST",20,1828122798,2567226112,502,False,False,False,False,True
13,5.579107,1782457383.9465742,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,47798,8080,SYN,2,2210126069,0,64240,True,False,False,False,False
14,5.579184,1782457383.9466515,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,47798,"SYN,ACK",18,4135802420,2210126070,65160,False,True,False,False,False
15,5.5793,1782457383.946767,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,47798,8080,ACK,16,2210126070,4135802421,502,False,False,True,False,False
16,5.57964,1782457383.9471076,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,47798,8080,"ACK,RST",20,2210126070,4135802421,502,False,False,False,False,True
17,5.582107,1782457383.9495742,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36272,8080,SYN,2,340149584,0,64240,True,False,False,False,False
18,5.582177,1782457383.9496443,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36272,"SYN,ACK",18,3853579153,340149585,65160,False,True,False,False,False
19,5.582294,1782457383.9497612,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36272,8080,ACK,16,340149585,3853579154,502,False,False,True,False,False
