packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
1,5.680659,1782457527.450904,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,59380,8080,SYN,2,349062083,0,64240,True,False,False,False,False
2,5.680722,1782457527.4509668,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,59380,"SYN,ACK",18,3913801821,349062084,65160,False,True,False,False,False
3,5.68079,1782457527.4510348,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,59380,8080,ACK,16,349062084,3913801822,502,False,False,True,False,False
4,5.681002,1782457527.4512465,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,59380,8080,"ACK,RST",20,349062084,3913801822,502,False,False,False,False,True
5,5.687662,1782457527.4579067,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,47130,8080,SYN,2,1784868742,0,64240,True,False,False,False,False
6,5.687724,1782457527.4579692,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,47130,"SYN,ACK",18,635212467,1784868743,65160,False,True,False,False,False
7,5.687783,1782457527.4580283,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47130,8080,ACK,16,1784868743,635212468,502,False,False,True,False,False
8,5.687994,1782457527.4582384,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47130,8080,"ACK,RST",20,1784868743,635212468,502,False,False,False,False,True
9,5.715513,1782457527.4857583,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36026,8080,SYN,2,2562421414,0,64240,True,False,False,False,False
10,5.715567,1782457527.4858115,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36026,"SYN,ACK",18,3263657000,2562421415,65160,False,True,False,False,False
11,5.715627,1782457527.4858718,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36026,8080,ACK,16,2562421415,3263657001,502,False,False,True,False,False
12,5.715819,1782457527.4860642,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36026,8080,"ACK,RST",20,2562421415,3263657001,502,False,False,False,False,True
13,5.719358,1782457527.4896028,02:00:00:00:00:01,192.0.2.141,172.28.5.3,TCP,54,56646,8080,SYN,2,1216315162,0,8192,True,False,False,False,False
