packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
1,5.451308,1782457428.7152882,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,40340,8080,SYN,2,641761086,0,64240,True,False,False,False,False
2,5.451386,1782457428.7153666,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,40340,"SYN,ACK",18,2170113018,641761087,65160,False,True,False,False,False
3,5.451565,1782457428.715546,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,40664,8080,SYN,2,2667927225,0,64240,True,False,False,False,False
4,5.45159,1782457428.7155704,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,40664,"SYN,ACK",18,1442038651,2667927226,65160,False,True,False,False,False
5,5.451644,1782457428.7156248,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,40664,8080,ACK,16,2667927226,1442038652,502,False,False,True,False,False
6,5.451872,1782457428.715853,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,40664,8080,"ACK,RST",20,2667927226,1442038652,502,False,False,False,False,True
7,5.452098,1782457428.716079,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,40340,8080,ACK,16,641761087,2170113019,502,False,False,True,False,False
8,5.45234,1782457428.7163205,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,40340,8080,"ACK,RST",20,641761087,2170113019,502,False,False,False,False,True
9,5.46567,1782457428.7296505,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,47968,8080,SYN,2,1147148281,0,64240,True,False,False,False,False
10,5.46572,1782457428.7297008,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,47968,"SYN,ACK",18,190890466,1147148282,65160,False,True,False,False,False
11,5.465776,1782457428.7297564,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,47968,8080,ACK,16,1147148282,190890467,502,False,False,True,False,False
12,5.465953,1782457428.729934,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,47968,8080,"ACK,RST",20,1147148282,190890467,502,False,False,False,False,True
13,5.475284,1782457428.7392645,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,40672,8080,SYN,2,3173973639,0,64240,True,False,False,False,False
14,5.475361,1782457428.7393417,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,40672,"SYN,ACK",18,2377191134,3173973640,65160,False,True,False,False,False
15,5.475451,1782457428.7394319,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,40672,8080,ACK,16,3173973640,2377191135,502,False,False,True,False,False
16,5.475671,1782457428.7396514,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,40672,8080,"ACK,RST",20,3173973640,2377191135,502,False,False,False,False,True
17,5.476136,1782457428.7401166,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,40352,8080,SYN,2,113849768,0,64240,True,False,False,False,False
18,5.476184,1782457428.740165,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,40352,"SYN,ACK",18,920819498,113849769,65160,False,True,False,False,False
19,5.476262,1782457428.7402425,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,40352,8080,ACK,16,113849769,920819499,502,False,False,True,False,False
