packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
1,5.41096,1782457572.2432365,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60230,8080,SYN,2,361458638,0,64240,True,False,False,False,False
2,5.411039,1782457572.2433152,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60230,"SYN,ACK",18,3840171002,361458639,65160,False,True,False,False,False
3,5.411147,1782457572.243424,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60230,8080,ACK,16,361458639,3840171003,502,False,False,True,False,False
4,5.411363,1782457572.2436392,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60230,8080,"ACK,RST",20,361458639,3840171003,502,False,False,False,False,True
5,5.43522,1782457572.267496,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60242,8080,SYN,2,3571513287,0,64240,True,False,False,False,False
6,5.435293,1782457572.2675693,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60242,"SYN,ACK",18,2087933323,3571513288,65160,False,True,False,False,False
7,5.43536,1782457572.267637,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60242,8080,ACK,16,3571513288,2087933324,502,False,False,True,False,False
8,5.435579,1782457572.2678552,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60242,8080,"ACK,RST",20,3571513288,2087933324,502,False,False,False,False,True
9,5.447081,1782457572.279358,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,51998,8080,SYN,2,2109648672,0,8192,True,False,False,False,False
10,5.44716,1782457572.2794363,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,51998,"SYN,ACK",18,1391234754,2109648673,64240,False,True,False,False,False
11,5.447199,1782457572.2794757,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,51998,8080,RST,4,2109648673,0,0,False,False,False,False,True
12,5.450562,1782457572.2828386,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57039,8080,SYN,2,3250258134,0,8192,True,False,False,False,False
13,5.450639,1782457572.282916,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,57039,"SYN,ACK",18,157030485,3250258135,64240,False,True,False,False,False
14,5.450681,1782457572.282958,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57039,8080,RST,4,3250258135,0,0,False,False,False,False,True
15,5.45257,1782457572.284847,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57238,8080,SYN,2,449920450,0,64240,True,False,False,False,False
16,5.452623,1782457572.2848997,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57238,"SYN,ACK",18,3480840092,449920451,65160,False,True,False,False,False
17,5.452692,1782457572.2849684,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57238,8080,ACK,16,449920451,3480840093,502,False,False,True,False,False
18,5.45294,1782457572.2852166,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57238,8080,"ACK,RST",20,449920451,3480840093,502,False,False,False,False,True
19,5.460236,1782457572.2925122,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60248,8080,SYN,2,2677017851,0,64240,True,False,False,False,False
20,5.46029,1782457572.2925663,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60248,"SYN,ACK",18,2233542559,2677017852,65160,False,True,False,False,False
21,5.460357,1782457572.2926338,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60248,8080,ACK,16,2677017852,2233542560,502,False,False,True,False,False
22,5.460539,1782457572.2928152,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60248,8080,"ACK,RST",20,2677017852,2233542560,502,False,False,False,False,True
23,5.469404,1782457572.3016803,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,53500,8080,SYN,2,1453800051,0,8192,True,False,False,False,False
24,5.469485,1782457572.3017614,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,53500,"SYN,ACK",18,2596462866,1453800052,64240,False,True,False,False,False
25,5.469528,1782457572.301805,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,53500,8080,RST,4,1453800052,0,0,False,False,False,False,True
26,5.48519,1782457572.3174663,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60260,8080,SYN,2,483273516,0,64240,True,False,False,False,False
27,5.485239,1782457572.3175156,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60260,"SYN,ACK",18,3736729326,483273517,65160,False,True,False,False,False
28,5.485305,1782457572.3175814,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60260,8080,ACK,16,483273517,3736729327,502,False,False,True,False,False
29,5.485479,1782457572.3177555,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60260,8080,"ACK,RST",20,483273517,3736729327,502,False,False,False,False,True
30,5.496664,1782457572.3289406,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57635,8080,SYN,2,1913807881,0,8192,True,False,False,False,False
31,5.496769,1782457572.329046,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,57635,"SYN,ACK",18,625924607,1913807882,64240,False,True,False,False,False
32,5.496835,1782457572.3291113,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57635,8080,RST,4,1913807882,0,0,False,False,False,False,True
33,5.510275,1782457572.342552,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60270,8080,SYN,2,2101205776,0,64240,True,False,False,False,False
34,5.51034,1782457572.3426163,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60270,"SYN,ACK",18,872443192,2101205777,65160,False,True,False,False,False
35,5.510423,1782457572.3426995,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60270,8080,ACK,16,2101205777,872443193,502,False,False,True,False,False
36,5.510654,1782457572.3429306,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60270,8080,"ACK,RST",20,2101205777,872443193,502,False,False,False,False,True
37,5.520753,1782457572.3530297,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,64855,8080,SYN,2,2101902934,0,8192,True,False,False,False,False
38,5.520841,1782457572.3531177,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,64855,"SYN,ACK",18,1021534120,2101902935,64240,False,True,False,False,False
39,5.520891,1782457572.353168,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,64855,8080,RST,4,2101902935,0,0,False,False,False,False,True
40,5.535203,1782457572.36748,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60272,8080,SYN,2,2115979642,0,64240,True,False,False,False,False
41,5.535258,1782457572.3675349,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60272,"SYN,ACK",18,668136340,2115979643,65160,False,True,False,False,False
42,5.535332,1782457572.367609,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60272,8080,ACK,16,2115979643,668136341,502,False,False,True,False,False
43,5.535533,1782457572.3678095,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60272,8080,"ACK,RST",20,2115979643,668136341,502,False,False,False,False,True
44,5.546654,1782457572.378931,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57369,8080,SYN,2,610028995,0,8192,True,False,False,False,False
45,5.546757,1782457572.379033,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,57369,"SYN,ACK",18,4022100611,610028996,64240,False,True,False,False,False
46,5.546828,1782457572.3791049,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57369,8080,RST,4,610028996,0,0,False,False,False,False,True
47,5.560191,1782457572.3924675,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60280,8080,SYN,2,2497538225,0,64240,True,False,False,False,False
48,5.560238,1782457572.3925145,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60280,"SYN,ACK",18,3371302396,2497538226,65160,False,True,False,False,False
49,5.560302,1782457572.3925781,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60280,8080,ACK,16,2497538226,3371302397,502,False,False,True,False,False
50,5.560478,1782457572.3927546,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60280,8080,"ACK,RST",20,2497538226,3371302397,502,False,False,False,False,True
