packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
1,5.452058,1782457482.0486772,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37360,8080,SYN,2,4037856255,0,64240,True,False,False,False,False
2,5.452111,1782457482.04873,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37360,"SYN,ACK",18,1969572931,4037856256,65160,False,True,False,False,False
3,5.45217,1782457482.0487885,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37360,8080,ACK,16,4037856256,1969572932,502,False,False,True,False,False
4,5.452355,1782457482.0489738,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37360,8080,"ACK,RST",20,4037856256,1969572932,502,False,False,False,False,True
5,5.459321,1782457482.0559397,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,44522,8080,SYN,2,3199147892,0,64240,True,False,False,False,False
6,5.459375,1782457482.0559938,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,44522,"SYN,ACK",18,3763049883,3199147893,65160,False,True,False,False,False
7,5.459434,1782457482.0560524,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44522,8080,ACK,16,3199147893,3763049884,502,False,False,True,False,False
8,5.45963,1782457482.0562491,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44522,8080,"ACK,RST",20,3199147893,3763049884,502,False,False,False,False,True
9,5.466752,1782457482.0633712,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,62296,8080,SYN,2,3286310699,0,8192,True,False,False,False,False
10,5.466832,1782457482.0634506,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,62296,"SYN,ACK",18,921650802,3286310700,64240,False,True,False,False,False
11,5.466872,1782457482.063491,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,62296,8080,RST,4,3286310700,0,0,False,False,False,False,True
12,5.511528,1782457482.108147,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,63747,8080,SYN,2,2267302108,0,8192,True,False,False,False,False
13,5.511615,1782457482.1082335,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,63747,"SYN,ACK",18,678789581,2267302109,64240,False,True,False,False,False
14,5.511671,1782457482.1082895,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,63747,8080,RST,4,2267302109,0,0,False,False,False,False,True
15,5.576617,1782457482.1732364,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37362,8080,SYN,2,1210339142,0,64240,True,False,False,False,False
16,5.57664,1782457482.173259,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,49544,8080,SYN,2,3413057828,0,8192,True,False,False,False,False
17,5.576711,1782457482.1733298,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37362,"SYN,ACK",18,2110399672,1210339143,65160,False,True,False,False,False
18,5.576711,1782457482.17333,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,49544,"SYN,ACK",18,2937228657,3413057829,64240,False,True,False,False,False
19,5.576772,1782457482.1733906,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,49544,8080,RST,4,3413057829,0,0,False,False,False,False,True
20,5.576801,1782457482.1734202,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37362,8080,ACK,16,1210339143,2110399673,502,False,False,True,False,False
21,5.577091,1782457482.17371,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37362,8080,"ACK,RST",20,1210339143,2110399673,502,False,False,False,False,True
22,5.584098,1782457482.1807165,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,44528,8080,SYN,2,2007769885,0,64240,True,False,False,False,False
23,5.584153,1782457482.180772,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,44528,"SYN,ACK",18,3038885117,2007769886,65160,False,True,False,False,False
24,5.584237,1782457482.1808555,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44528,8080,ACK,16,2007769886,3038885118,502,False,False,True,False,False
25,5.584488,1782457482.181107,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44528,8080,"ACK,RST",20,2007769886,3038885118,502,False,False,False,False,True
26,5.64386,1782457482.240479,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,59879,8080,SYN,2,2924333129,0,8192,True,False,False,False,False
27,5.643976,1782457482.2405953,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,59879,"SYN,ACK",18,2628422967,2924333130,64240,False,True,False,False,False
28,5.64406,1782457482.2406793,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,59879,8080,RST,4,2924333130,0,0,False,False,False,False,True
29,5.701835,1782457482.2984543,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37368,8080,SYN,2,3018487558,0,64240,True,False,False,False,False
30,5.70193,1782457482.298549,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37368,"SYN,ACK",18,1646974742,3018487559,65160,False,True,False,False,False
31,5.70206,1782457482.2986784,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37368,8080,ACK,16,3018487559,1646974743,502,False,False,True,False,False
32,5.702448,1782457482.2990665,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37368,8080,"ACK,RST",20,3018487559,1646974743,502,False,False,False,False,True
33,5.709121,1782457482.3057404,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,44534,8080,SYN,2,1104233836,0,64240,True,False,False,False,False
34,5.709194,1782457482.3058133,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,44534,"SYN,ACK",18,1012258215,1104233837,65160,False,True,False,False,False
35,5.709312,1782457482.3059313,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44534,8080,ACK,16,1104233837,1012258216,502,False,False,True,False,False
36,5.709718,1782457482.306337,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44534,8080,"ACK,RST",20,1104233837,1012258216,502,False,False,False,False,True
37,5.71306,1782457482.309679,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,62396,8080,SYN,2,3496717272,0,8192,True,False,False,False,False
38,5.713173,1782457482.3097918,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,62396,"SYN,ACK",18,1156422931,3496717273,64240,False,True,False,False,False
39,5.713253,1782457482.3098714,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,62396,8080,RST,4,3496717273,0,0,False,False,False,False,True
40,5.779214,1782457482.3758326,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,63413,8080,SYN,2,3987272576,0,8192,True,False,False,False,False
41,5.779326,1782457482.3759453,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,63413,"SYN,ACK",18,24905470,3987272577,64240,False,True,False,False,False
42,5.77941,1782457482.3760285,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,63413,8080,RST,4,3987272577,0,0,False,False,False,False,True
43,5.826702,1782457482.423321,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37370,8080,SYN,2,3066937551,0,64240,True,False,False,False,False
44,5.826767,1782457482.4233859,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37370,"SYN,ACK",18,3336380725,3066937552,65160,False,True,False,False,False
45,5.826889,1782457482.4235082,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37370,8080,ACK,16,3066937552,3336380726,502,False,False,True,False,False
46,5.827219,1782457482.423838,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37370,8080,"ACK,RST",20,3066937552,3336380726,502,False,False,False,False,True
47,5.834002,1782457482.4306211,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,44538,8080,SYN,2,2891256019,0,64240,True,False,False,False,False
48,5.834067,1782457482.4306855,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,44538,"SYN,ACK",18,2579973046,2891256020,65160,False,True,False,False,False
49,5.83417,1782457482.4307888,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44538,8080,ACK,16,2891256020,2579973047,502,False,False,True,False,False
50,5.834464,1782457482.431083,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44538,8080,"ACK,RST",20,2891256020,2579973047,502,False,False,False,False,True
51,5.842021,1782457482.4386394,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,58017,8080,SYN,2,3157844397,0,8192,True,False,False,False,False
52,5.842091,1782457482.43871,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,58017,"SYN,ACK",18,1312578701,3157844398,64240,False,True,False,False,False
53,5.842132,1782457482.4387507,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,58017,8080,RST,4,3157844398,0,0,False,False,False,False,True
54,5.908384,1782457482.5050032,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,59459,8080,SYN,2,2771069235,0,8192,True,False,False,False,False
55,5.908459,1782457482.5050776,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,59459,"SYN,ACK",18,3899222373,2771069236,64240,False,True,False,False,False
56,5.908497,1782457482.5051157,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,59459,8080,RST,4,2771069236,0,0,False,False,False,False,True
57,5.951571,1782457482.5481894,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37374,8080,SYN,2,1206684278,0,64240,True,False,False,False,False
58,5.951626,1782457482.5482445,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37374,"SYN,ACK",18,3061348718,1206684279,65160,False,True,False,False,False
59,5.95175,1782457482.5483685,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37374,8080,ACK,16,1206684279,3061348719,502,False,False,True,False,False
60,5.952008,1782457482.548627,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37374,8080,"ACK,RST",20,1206684279,3061348719,502,False,False,False,False,True
61,5.958916,1782457482.555535,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,44546,8080,SYN,2,3520442714,0,64240,True,False,False,False,False
62,5.958977,1782457482.555596,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,44546,"SYN,ACK",18,3226119527,3520442715,65160,False,True,False,False,False
63,5.95906,1782457482.5556786,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44546,8080,ACK,16,3520442715,3226119528,502,False,False,True,False,False
64,5.959294,1782457482.5559125,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44546,8080,"ACK,RST",20,3520442715,3226119528,502,False,False,False,False,True
65,5.975348,1782457482.5719664,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,53484,8080,SYN,2,3316665728,0,8192,True,False,False,False,False
66,5.975427,1782457482.5720463,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,53484,"SYN,ACK",18,2444720255,3316665729,64240,False,True,False,False,False
67,5.975471,1782457482.5720904,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,53484,8080,RST,4,3316665729,0,0,False,False,False,False,True
68,6.045209,1782457482.6418276,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,63660,8080,SYN,2,4263720987,0,8192,True,False,False,False,False
69,6.045323,1782457482.6419415,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,63660,"SYN,ACK",18,2161917183,4263720988,64240,False,True,False,False,False
70,6.045403,1782457482.6420221,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,63660,8080,RST,4,4263720988,0,0,False,False,False,False,True
71,6.076469,1782457482.6730883,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37386,8080,SYN,2,4134871514,0,64240,True,False,False,False,False
72,6.076514,1782457482.6731324,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37386,"SYN,ACK",18,323085342,4134871515,65160,False,True,False,False,False
73,6.076583,1782457482.673202,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37386,8080,ACK,16,4134871515,323085343,502,False,False,True,False,False
74,6.076821,1782457482.6734397,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37386,8080,"ACK,RST",20,4134871515,323085343,502,False,False,False,False,True
75,6.083781,1782457482.6803994,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,44562,8080,SYN,2,4250032928,0,64240,True,False,False,False,False
76,6.083831,1782457482.6804497,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,44562,"SYN,ACK",18,1714747572,4250032929,65160,False,True,False,False,False
77,6.083896,1782457482.680515,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44562,8080,ACK,16,4250032929,1714747573,502,False,False,True,False,False
78,6.084096,1782457482.680715,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,44562,8080,"ACK,RST",20,4250032929,1714747573,502,False,False,False,False,True
