packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
1,5.678902,1782457622.1700015,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,37090,8080,SYN,2,2386117885,0,64240,True,False,False,False,False
2,5.678974,1782457622.170074,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,37090,"SYN,ACK",18,4047801634,2386117886,65160,False,True,False,False,False
3,5.679055,1782457622.1701548,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,37090,8080,ACK,16,2386117886,4047801635,502,False,False,True,False,False
4,5.681791,1782457622.172891,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,66,8080,37090,"ACK,FIN",17,4047801635,2386117886,510,False,False,False,True,False
5,5.682292,1782457622.1733923,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,37090,8080,ACK,16,2386117886,4047801636,502,False,False,True,False,False
6,5.682488,1782457622.173588,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,37090,8080,"ACK,RST",20,2386117886,4047801636,502,False,False,False,False,True
7,5.710712,1782457622.2018116,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,57144,8080,SYN,2,3868711732,0,64240,True,False,False,False,False
8,5.710773,1782457622.201873,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,57144,"SYN,ACK",18,4190095852,3868711733,65160,False,True,False,False,False
9,5.710843,1782457622.2019432,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,57144,8080,ACK,16,3868711733,4190095853,502,False,False,True,False,False
10,5.711061,1782457622.2021613,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,57144,8080,"ACK,RST",20,3868711733,4190095853,502,False,False,False,False,True
11,5.720412,1782457622.211512,02:00:00:00:00:01,203.0.113.253,172.28.5.3,TCP,54,62306,8080,SYN,2,3370648017,0,8192,True,False,False,False,False
12,5.720718,1782457622.2118177,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,44868,8080,SYN,2,4216267257,0,64240,True,False,False,False,False
13,5.720755,1782457622.2118552,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,44868,"SYN,ACK",18,1447857285,4216267258,65160,False,True,False,False,False
14,5.720812,1782457622.2119117,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,44868,8080,ACK,16,4216267258,1447857286,502,False,False,True,False,False
15,5.721002,1782457622.2121022,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,44868,8080,"ACK,RST",20,4216267258,1447857286,502,False,False,False,False,True
16,5.754882,1782457622.245982,02:00:00:00:00:01,203.0.113.209,172.28.5.3,TCP,54,53132,8080,SYN,2,2333234985,0,8192,True,False,False,False,False
17,5.803165,1782457622.2942648,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,37102,8080,SYN,2,511897648,0,64240,True,False,False,False,False
18,5.803233,1782457622.294333,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,37102,"SYN,ACK",18,3623045592,511897649,65160,False,True,False,False,False
19,5.803314,1782457622.2944143,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,37102,8080,ACK,16,511897649,3623045593,502,False,False,True,False,False
20,5.80354,1782457622.2946393,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,37102,8080,"ACK,RST",20,511897649,3623045593,502,False,False,False,False,True
21,5.819076,1782457622.3101754,02:00:00:00:00:01,203.0.113.116,172.28.5.3,TCP,54,54212,8080,SYN,2,3161511451,0,8192,True,False,False,False,False
22,5.835147,1782457622.3262467,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,57160,8080,SYN,2,1221051035,0,64240,True,False,False,False,False
23,5.835224,1782457622.3263237,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,57160,"SYN,ACK",18,1152955261,1221051036,65160,False,True,False,False,False
24,5.835315,1782457622.326415,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,57160,8080,ACK,16,1221051036,1152955262,502,False,False,True,False,False
25,5.835576,1782457622.326676,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,57160,8080,"ACK,RST",20,1221051036,1152955262,502,False,False,False,False,True
26,5.845177,1782457622.3362765,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,44876,8080,SYN,2,2238357227,0,64240,True,False,False,False,False
27,5.845258,1782457622.336358,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,44876,"SYN,ACK",18,556692886,2238357228,65160,False,True,False,False,False
28,5.845385,1782457622.336485,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,44876,8080,ACK,16,2238357228,556692887,502,False,False,True,False,False
29,5.845663,1782457622.336763,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,44876,8080,"ACK,RST",20,2238357228,556692887,502,False,False,False,False,True
30,5.883985,1782457622.375085,02:00:00:00:00:01,192.0.2.17,172.28.5.3,TCP,54,57336,8080,SYN,2,2358027269,0,8192,True,False,False,False,False
31,5.928219,1782457622.4193192,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,37116,8080,SYN,2,3524143908,0,64240,True,False,False,False,False
32,5.928278,1782457622.419378,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,37116,"SYN,ACK",18,3652055380,3524143909,65160,False,True,False,False,False
33,5.928368,1782457622.4194682,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,37116,8080,ACK,16,3524143909,3652055381,502,False,False,True,False,False
34,5.928639,1782457622.4197392,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,37116,8080,"ACK,RST",20,3524143909,3652055381,502,False,False,False,False,True
35,5.951856,1782457622.442956,02:00:00:00:00:01,192.0.2.28,172.28.5.3,TCP,54,55191,8080,SYN,2,2619767171,0,8192,True,False,False,False,False
36,5.960466,1782457622.4515662,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,57168,8080,SYN,2,1937548430,0,64240,True,False,False,False,False
37,5.96054,1782457622.45164,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,57168,"SYN,ACK",18,461049864,1937548431,65160,False,True,False,False,False
38,5.960662,1782457622.4517622,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,57168,8080,ACK,16,1937548431,461049865,502,False,False,True,False,False
39,5.960998,1782457622.4520974,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,57168,8080,"ACK,RST",20,1937548431,461049865,502,False,False,False,False,True
40,5.970143,1782457622.4612427,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,44882,8080,SYN,2,1608231912,0,64240,True,False,False,False,False
41,5.970215,1782457622.4613147,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,44882,"SYN,ACK",18,228923882,1608231913,65160,False,True,False,False,False
