packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
1,5.4219,1782457713.977963,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,48346,8080,SYN,2,2079994561,0,64240,True,False,False,False,False
2,5.421955,1782457713.9780185,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,48346,"SYN,ACK",18,1660241667,2079994562,65160,False,True,False,False,False
3,5.422017,1782457713.9780805,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,48346,8080,ACK,16,2079994562,1660241668,502,False,False,True,False,False
4,5.42223,1782457713.978293,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,48346,8080,"ACK,RST",20,2079994562,1660241668,502,False,False,False,False,True
5,5.43066,1782457713.9867237,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,52994,8080,SYN,2,2369337775,0,64240,True,False,False,False,False
6,5.430715,1782457713.9867783,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,52994,"SYN,ACK",18,2831060249,2369337776,65160,False,True,False,False,False
7,5.430776,1782457713.986839,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,52994,8080,ACK,16,2369337776,2831060250,502,False,False,True,False,False
8,5.430977,1782457713.98704,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,52994,8080,"ACK,RST",20,2369337776,2831060250,502,False,False,False,False,True
9,5.497475,1782457714.0535386,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57032,8080,SYN,2,1305333904,0,8192,True,False,False,False,False
10,5.49756,1782457714.0536232,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,57032,"SYN,ACK",18,11698685,1305333905,64240,False,True,False,False,False
11,5.497607,1782457714.0536702,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57032,8080,RST,4,1305333905,0,0,False,False,False,False,True
12,5.521431,1782457714.0774949,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,48350,8080,SYN,2,1661905867,0,64240,True,False,False,False,False
